Scientific name,Common name,Salinity,Water Column,Family,Native
Pimephales promelas,Fathead minnow,Freshwater,Benthopelagic,Cyprinidae,No
Cyprinella lutrensis,Red shiner,Freshwater,Benthopelagic,Cyprinidae,No
Atherinopsis californiensis,Jacksmelt,Marine/Brackish,Pelagic,Atherinopsidae,Yes
Cymatogaster aggregata,Shiner perch,Marine/Brackish,Benthopelagic,Embiotocidae,Yes
Dorosoma petenense,Threadfin shad,Brackish/Freshwater,Pelagic,Dorosomatidae,No
Hypomesus transpacificus,Delta smelt,Brackish/Freshwater,Pelagic,Osmeridae,Yes
Menidia audens,Mississippi silverside,Brackish/Freshwater,Pelagic,Atherinopsidae,No
Atherinops affinis,Topsmelt,Marine/Brackish,Pelagic,Atherinopsidae,Yes
Engraulis mordax,Northern anchovy,Marine/Brackish,Pelagic,Engraulidae,Yes
Sardinops sagax,Sardine,Marine,Pelagic,Alosidae,Yes
Acanthogobius flavimanus,Yellowfin goby,Brackish,Demersal,Oxudercidae,No
Ilypnus gilberti,Cheekspot goby,Brackish,Demersal,Oxudercidae,Yes
Lepidogobius lepidus,Bay goby,Brackish,Demersal,Oxudercidae,Yes
Hysterocarpus traskii,Tule perch,Brackish/Freshwater,Benthopelagic,Embiotocidae,Yes
Pogonichthys macrolepidotus,Sacramento splittail,Brackish/Freshwater,Benthopelagic,Cyprinidae,Yes
Alosa sapidissima,American shad,Brackish/Freshwater (anadromous),Pelagic,Alosidae,No
Ameiurus catus,White catfish,Freshwater,Demersal,Ictaluridae,No
Ictalurus punctatus,Channel catfish,Freshwater,Demersal,Ictaluridae,No
Lepomis macrochirus,Bluegill,Freshwater,Benthopelagic,Centarchidae,No
Genyonemus lineatus,White croaker,Marine,Benthopelagic,Sciaenidae,Yes
Citharichthys stigmaeus,Speckled sanddab,Marine/Brackish,Demersal,Paralichthidae,Yes
Leptocottus armatus,Pacific staghorn sculpin,Marine/Brackish,Demersal,Cottidae,Yes
Microgadus proximus,Pacific tomcod,Marine/Brackish,Demersal,Gadidae,Yes
Paralichthys californicus,California flounder,Marine/Brackish,Demersal,Paralichthidae,Yes
Parophrys vetulus,English sole,Marine/Brackish,Demersal,Pleuronectidae,Yes
Peprilus simillimus,Pacific pompano,Marine/Brackish,Benthopelagic,Stromateidae,Yes
Porichthys notatus,Plainfin midshipman,Marine/Brackish,Demersal,Batrachoididae,Yes
Syngnathus leptorhynchus,Bay pipefish,Marine/Brackish,Demersal,Syngnathidae,Yes
Sebastes auriculatus,Brown rockfish,Marine,Demersal,Scorpaenidae,Yes
Tridentiger bifasciatus,Shimofuri goby,Marine/Brackish/Freshwater,Demersal,Oxudercidae,No
Tridentiger trigonocephalus,Chameleon goby,Marine/Brackish/Freshwater,Demersal,Oxudercidae,No
Clupea pallasii,Pacific herring,Marine/Brackish/Freshwater,Pelagic,Clupeidae,Yes
Oncorhynchus tshawytscha,Chinook salmon,Marine/Brackish/Freshwater,Pelagic,Salmonidae,Yes
Platichthys stellatus,Starry flounder,Marine/Brackish/Freshwater,Demersal,Pleuronectidae,Yes
Morone saxatilis,Striped bass,Marine/Brackish/Freshwater (anadromous),Benthopelagic,Moronidae,No
Spirinchus thaleichthys,Longfin smelt,Marine/Brackish/Freshwater (anadromous),Benthopelagic,Osmeridae,Yes
Acipenser transmontanus,White sturgeon,Marine/Brackish/Freshwater (anadromous),Demersal,Acipenseridae,Yes
Orthodon microlepidotus,Sacramento blackfish,Brackish/Freshwater,Benthopelagic,Leucisidae,Yes
Lampetra ayresii,River lamprey,Marine/Brackish/Freshwater (anadromous),Demersal,Petromyzontidae,Yes
Lampetra tridentata,Pacific lamprey,Marine/Brackish/Freshwater (anadromous),Demersal,Petromyzontidae,Yes
